TOTAL GASTOS
1 - ADMINISTRACION GUBERNAMENTAL
11-Legislativa
12-Judicial
13-Dirección Superior Ejecutiva
14-Relaciones Exteriores
15-Relaciones Interiores
16-Administración Fiscal
17-Control de la Gestión Pública
18-Información y Estadística Básicas
2 - SERVICIOS DE DEFENSA Y SEGURIDAD
21-Defensa
22-Seguridad Interior
23-Sistema Penal
24-Inteligencia
3 - SERVICIOS SOCIALES
31-Salud
32-Promoción y Asistencia Social
33-Seguridad Social
34-Educación y Cultura
35-Ciencia y Técnica
36-Trabajo
37-Vivienda y Urbanismo
38-Agua Potable y Alcantarillado
39-Otros Servicios Urbanos
4 - SERVICIOS ECONOMICOS
41-Energía, Combustibles y Minería
42-Comunicaciones
43-Transporte
44-Ecología y Medio Ambiente
45-Agricultura
46-Industria
47-Comercio, Turismo y Otros Servicios
48-Seguros y Finanzas
5 - DEUDA PUBLICA
51-Servicio de la Deuda Pública
329.034,1 284.781,7 36.775,2 14.625,7 23.563,1 105.891,8 12,8 103.913,1 44.252,4 11.561,6 31.525,8 1.165,0
25.902,8 16.675,3 8.195,5 2.904,7 0,0 0,0 1,3 5.573,8 9.227,5 315,9 7.845,0 1.066,6
1.440,6 1.426,1 1.270,8 138,7 0,0 0,0 0,0 16,6 14,5 14,5 0,0 0,0
4.785,8 4.643,7 4.222,6 326,5 0,0 0,0 0,3 94,3 142,1 142,1 0,0 0,0
2.407,4 2.315,8 697,5 1.128,8 0,0 0,0 0,1 489,4 91,6 82,7 8,9 0,0
2.696,5 1.605,2 927,0 372,9 0,0 0,0 0,7 304,6 1.091,3 23,9 0,8 1.066,6
10.862,5 3.008,5 539,0 235,4 0,0 0,0 0,0 2.234,1 7.854,0 18,7 7.835,3 0,0
2.731,2 2.710,6 179,6 96,9 0,0 0,0 0,0 2.434,1 20,6 20,6 0,0 0,0
246,4 235,8 212,2 23,3 0,0 0,0 0,2 0,1 10,6 10,6 0,0 0,0
732,4 729,6 146,8 582,2 0,0 0,0 0,0 0,6 2,8 2,8 0,0 0,0
20.301,1 19.524,6 15.651,1 3.793,7 0,1 0,0 8,4 71,3 776,5 735,4 40,7 0,4
7.684,0 7.517,6 5.665,7 1.832,2 0,1 0,0 2,2 17,4 166,4 163,6 2,4 0,4
10.377,8 9.813,1 8.423,8 1.361,5 0,0 0,0 6,2 21,6 564,7 526,4 38,3 0,0
1.334,6 1.292,0 967,0 293,2 0,0 0,0 0,0 31,8 42,6 42,6 0,0 0,0
904,7 901,9 594,6 306,8 0,0 0,0 0,0 0,5 2,8 2,8 0,0 0,0
190.486,2 177.845,9 10.120,4 6.120,8 10,5 105.891,8 2,6 55.699,8 12.640,3 1.666,9 10.890,5 82,9
11.477,1 11.059,9 2.127,7 2.081,6 0,0 0,0 0,1 6.850,5 417,2 123,2 292,9 1,1
9.382,2 8.214,1 645,4 594,0 0,0 0,0 0,1 6.974,6 1.168,1 14,1 1.151,3 2,7
131.623,3 131.460,6 2.106,5 1.185,7 7,5 105.891,8 0,2 22.268,9 162,7 162,7 0,0 0,0
21.918,7 19.788,1 2.473,5 1.242,9 0,0 0,0 0,5 16.071,2 2.130,6 315,1 1.813,9 1,6
5.075,8 4.179,8 2.396,9 865,3 2,8 0,0 1,1 913,7 896,0 770,6 86,8 38,6
2.315,6 2.267,9 317,5 123,8 0,2 0,0 0,6 1.825,8 47,7 25,8 21,9 0,0
5.289,9 47,6 20,8 16,5 0,0 0,0 0,0 10,3 5.242,3 0,3 5.242,0 0,0
3.403,6 827,9 32,1 11,0 0,0 0,0 0,0 784,8 2.575,7 255,1 2.281,7 38,9
0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0
68.575,4 46.967,3 2.808,2 1.589,6 0,8 0,0 0,5 42.568,2 21.608,1 8.843,4 12.749,6 15,1
30.807,0 24.302,9 216,7 197,5 0,0 0,0 0,0 23.888,7 6.504,1 17,4 6.480,1 6,6
2.696,9 1.006,9 178,8 72,8 0,0 0,0 0,0 755,3 1.690,0 91,9 1.598,1 0,0
26.825,3 14.046,6 1.195,6 350,2 0,1 0,0 0,3 12.500,4 12.778,7 8.257,9 4.520,8 0,0
818,9 595,1 213,7 133,9 0,0 0,0 0,0 247,5 223,8 179,6 35,7 8,5
5.463,8 5.316,0 543,8 340,1 0,1 0,0 0,2 4.431,8 147,8 114,1 33,7 0,0
701,0 603,2 262,0 186,6 0,0 0,0 0,0 154,6 97,8 58,2 39,6 0,0
631,6 468,8 135,2 283,9 0,6 0,0 0,0 49,1 162,8 121,2 41,6 0,0
630,9 627,8 62,4 24,6 0,0 0,0 0,0 540,8 3,1 3,1 0,0 0,0
23.768,6 23.768,6 0,0 216,9 23.551,7 0,0 0,0 0,0 0,0 0,0 0,0 0,0
23.768,6 23.768,6 0,0 216,9 23.551,7 0,0 0,0 0,0 0,0 0,0 0,0 0,0
